Movie_ID,Movie_Name,Industry,Release_Year,Lead_Actor,Lead_Actress,Director,Genre,Budget_Cr,BoxOffice_Cr,IMDB_Rating,Duration_Min,Language,OTT_Platform,Awards_Won,Songs_Count,Sequel,Audience_Score
1102,Movie_241,Tollywood,2001,Actor_377,Actor_258,Director_110,Action,140,232.7463514,2,157,Telugu,Amazon Prime,4,8,Yes,85.80772192
1435,Movie_426,Tollywood,1996,Actor_61,Actor_109,Director_26,Romance,225,252.7899894,,122,Telugu,Amazon Prime,2,3,,86.93254722
1348,Movie_445,,2006,Actor_100,Actor_256,Director_76,Thriller,213,153.1268983,1,161,Hindi,Hotstar,3,6,,50.60922576
1270,Movie_298,Tollywood,2000,Actor_307,Actor_282,Director_32,Drama,127,-17.42170725,7,197,Tamil,,2,6,,65.67633072
1106,Movie_440,Mollywood,1995,Actor_354,Actor_220,Director_91,Romance,120,-50.39293643,9,84,Telugu,,9,9,,70.88637366
1071,Movie_36,Kollywood,2012,Actor_393,Actor_83,Director_125,Drama,161,210.6792132,6,158,Tamil,Hotstar,12,4,No,33.70476426
1188,Movie_84,Bollywood,2016,Actor_204,Actor_107,Director_126,Thriller,274,119.5782335,8,150,,,4,7,Yes,42.05814547
1020,Movie_452,,1995,Actor_258,Actor_69,Director_52,Action,21,230.8443343,,168,,,12,,No,95.72568873
1102,Movie_374,Mollywood,1991,Actor_5,Actor_97,Director_148,Drama,273,-7.094619324,7,93,,,0,1,Yes,48.69746207
1121,Movie_263,Bollywood,2011,Actor_197,Actor_212,Director_103,Thriller,223,87.10518094,9,195,Malayalam,Netflix,10,1,,95.16366217
1466,Movie_310,Bollywood,2009,Actor_180,Actor_286,Director_105,Romance,242,182.3352472,7,183,Hindi,Amazon Prime,2,2,No,43.09172651
1214,Movie_385,,2014,Actor_342,Actor_237,Director_168,Action,37,41.617001,6,115,Tamil,Netflix,16,4,,83.17655554
1330,Movie_172,Mollywood,2004,Actor_133,Actor_8,Director_187,Drama,289,181.1828048,1,114,Malayalam,Netflix,18,6,,63.77393785
1458,Movie_376,Bollywood,2018,Actor_324,Actor_294,Director_14,Thriller,41,90.17763782,9,187,Tamil,Amazon Prime,12,4,,66.58467462
1087,Movie_173,Bollywood,1997,Actor_253,Actor_189,Director_172,Action,107,102.2448645,10,129,Hindi,Netflix,15,6,Yes,107.1187183
1372,Movie_362,Mollywood,2022,Actor_265,Actor_81,Director_104,Action,215,5.309368271,5,167,Telugu,Hotstar,17,2,,44.91626731
1099,Movie_47,Tollywood,2011,Actor_93,Actor_108,Director_117,Comedy,284,120.1108831,2,158,Malayalam,Netflix,19,9,Yes,81.89596393
1359,Movie_379,Bollywood,1994,Actor_150,Actor_321,Director_48,Action,146,275.4231746,,90,Hindi,Hotstar,18,3,Yes,81.06979327
1151,Movie_141,Kollywood,2007,Actor_138,Actor_67,Director_93,Thriller,243,131.0417444,8,103,Malayalam,Amazon Prime,5,7,,137.0914678
1130,Movie_375,Mollywood,2019,Actor_208,Actor_174,Director_171,Romance,233,36.66205809,4,154,,,6,1,Yes,48.4573836
